# Force coefficients
# liftDir       : (-8.71556741e-02 9.96194704e-01 0.00000000e+00)
# dragDir       : (9.96194704e-01 8.71556741e-02 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 3.00000000e+00
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
# Time          	Cm              	Cd              	Cl              	Cl(f)           	Cl(r)           
61              	1.44536802e-03	3.37795586e-03	3.77200212e-02	2.03053786e-02	1.74146426e-02
62              	1.14617065e-03	3.25601314e-03	3.74379600e-02	1.98651507e-02	1.75728094e-02
63              	9.09461693e-04	3.16555226e-03	3.72585425e-02	1.95387329e-02	1.77198095e-02
64              	7.70555314e-04	3.11466983e-03	3.72153380e-02	1.93782243e-02	1.78371137e-02
65              	6.89047740e-04	3.08950406e-03	3.72708194e-02	1.93244575e-02	1.79463620e-02
66              	6.79490746e-04	3.09078389e-03	3.74248310e-02	1.93919063e-02	1.80329248e-02
67              	7.07891353e-04	3.10632652e-03	3.76256620e-02	1.95207224e-02	1.81049397e-02
68              	7.57127125e-04	3.13067997e-03	3.78605918e-02	1.96874230e-02	1.81731688e-02
69              	7.95122670e-04	3.15198117e-03	3.80602200e-02	1.98252327e-02	1.82349873e-02
70              	8.12029027e-04	3.16594504e-03	3.82072454e-02	1.99156517e-02	1.82915937e-02
71              	8.05862268e-04	3.17128427e-03	3.82985600e-02	1.99551423e-02	1.83434177e-02
72              	7.68846610e-04	3.16631710e-03	3.83291090e-02	1.99334011e-02	1.83957079e-02
73              	7.32406361e-04	3.16066076e-03	3.83455215e-02	1.99051671e-02	1.84403544e-02
74              	6.84068674e-04	3.15278641e-03	3.83481885e-02	1.98581629e-02	1.84900256e-02
75              	6.51645022e-04	3.14928024e-03	3.83677414e-02	1.98355157e-02	1.85322257e-02
76              	6.24781892e-04	3.14726494e-03	3.83928412e-02	1.98212025e-02	1.85716387e-02
77              	6.00611130e-04	3.14473018e-03	3.84141099e-02	1.98076661e-02	1.86064438e-02
78              	5.89189802e-04	3.14472899e-03	3.84547475e-02	1.98165636e-02	1.86381840e-02
79              	5.86984391e-04	3.14636486e-03	3.85066121e-02	1.98402904e-02	1.86663217e-02
80              	5.95886387e-04	3.15043930e-03	3.85729305e-02	1.98823516e-02	1.86905788e-02
81              	6.06430454e-04	3.15427461e-03	3.86382724e-02	1.99255667e-02	1.87127058e-02
82              	6.18121795e-04	3.15738133e-03	3.87008032e-02	1.99685234e-02	1.87322798e-02
83              	6.29554950e-04	3.15957015e-03	3.87565323e-02	2.00078211e-02	1.87487112e-02
84              	6.50827885e-04	3.16524539e-03	3.88303081e-02	2.00659820e-02	1.87643262e-02
85              	6.75111656e-04	3.17220579e-03	3.89076870e-02	2.01289551e-02	1.87787318e-02
86              	7.02779691e-04	3.18054256e-03	3.89899063e-02	2.01977328e-02	1.87921734e-02
87              	7.36330893e-04	3.19113777e-03	3.90846203e-02	2.02786410e-02	1.88059792e-02
88              	7.69878999e-04	3.20209956e-03	3.91777103e-02	2.03587341e-02	1.88189761e-02
89              	7.97493150e-04	3.21136066e-03	3.92587115e-02	2.04268489e-02	1.88318626e-02
90              	8.19737708e-04	3.21865122e-03	3.93303371e-02	2.04849063e-02	1.88454308e-02
91              	8.40501038e-04	3.22551268e-03	3.93998881e-02	2.05404451e-02	1.88594430e-02
92              	8.64065568e-04	3.23383474e-03	3.94766973e-02	2.06024142e-02	1.88742831e-02
93              	8.89930204e-04	3.24301954e-03	3.95564824e-02	2.06681714e-02	1.88883110e-02
94              	9.15219310e-04	3.25268557e-03	3.96372783e-02	2.07338585e-02	1.89034198e-02
95              	9.33603169e-04	3.25992515e-03	3.97041152e-02	2.07856608e-02	1.89184544e-02
96              	9.44867629e-04	3.26477866e-03	3.97588659e-02	2.08243006e-02	1.89345653e-02
97              	9.51623116e-04	3.26792004e-03	3.98046472e-02	2.08539467e-02	1.89507005e-02
98              	9.57804851e-04	3.27102170e-03	3.98477849e-02	2.08816973e-02	1.89660876e-02
99              	9.66973387e-04	3.27551392e-03	3.99002627e-02	2.09171047e-02	1.89831580e-02
100             	9.77891230e-04	3.28087961e-03	3.99558314e-02	2.09558069e-02	1.90000245e-02
101             	9.86331171e-04	3.28535706e-03	4.00057683e-02	2.09892153e-02	1.90165530e-02
102             	9.96099767e-04	3.29050863e-03	4.00600896e-02	2.10261446e-02	1.90339451e-02
103             	1.00287621e-03	3.29437669e-03	4.01059625e-02	2.10558575e-02	1.90501050e-02
104             	1.00635000e-03	3.29705072e-03	4.01456568e-02	2.10791784e-02	1.90664784e-02
105             	1.00799938e-03	3.29878514e-03	4.01776666e-02	2.10968327e-02	1.90808339e-02
106             	1.01099965e-03	3.30111983e-03	4.02191853e-02	2.11205923e-02	1.90985930e-02
107             	1.01239134e-03	3.30283660e-03	4.02538380e-02	2.11393103e-02	1.91145277e-02
108             	1.01258238e-03	3.30413926e-03	4.02819220e-02	2.11535434e-02	1.91283786e-02
109             	1.01084286e-03	3.30464108e-03	4.03129083e-02	2.11672970e-02	1.91456113e-02
110             	1.00771430e-03	3.30451356e-03	4.03347493e-02	2.11750890e-02	1.91596604e-02
111             	1.00584910e-03	3.30494234e-03	4.03560863e-02	2.11838922e-02	1.91721940e-02
112             	1.00466695e-03	3.30557403e-03	4.03837564e-02	2.11965452e-02	1.91872113e-02
113             	1.00317110e-03	3.30618796e-03	4.04076731e-02	2.12070076e-02	1.92006654e-02
114             	1.00098674e-03	3.30650917e-03	4.04284383e-02	2.12152059e-02	1.92132324e-02
115             	9.97654364e-04	3.30627066e-03	4.04538258e-02	2.12245673e-02	1.92292586e-02
116             	9.95290813e-04	3.30659446e-03	4.04736345e-02	2.12321081e-02	1.92415264e-02
117             	9.92206430e-04	3.30656131e-03	4.04955456e-02	2.12399792e-02	1.92555664e-02
118             	9.89710677e-04	3.30696202e-03	4.05146792e-02	2.12470503e-02	1.92676289e-02
119             	9.86060686e-04	3.30677738e-03	4.05365147e-02	2.12543180e-02	1.92821967e-02
120             	9.82392594e-04	3.30673098e-03	4.05533511e-02	2.12590681e-02	1.92942829e-02
121             	9.78088000e-04	3.30639819e-03	4.05709292e-02	2.12635526e-02	1.93073766e-02
122             	9.73631454e-04	3.30601431e-03	4.05892101e-02	2.12682365e-02	1.93209736e-02
123             	9.68453212e-04	3.30534336e-03	4.06039466e-02	2.12704265e-02	1.93335201e-02
124             	9.61965205e-04	3.30400369e-03	4.06190360e-02	2.12714832e-02	1.93475528e-02
125             	9.55753783e-04	3.30298561e-03	4.06306695e-02	2.12710885e-02	1.93595810e-02
126             	9.49564322e-04	3.30202746e-03	4.06402028e-02	2.12696657e-02	1.93705371e-02
127             	9.41544967e-04	3.30015005e-03	4.06530466e-02	2.12680683e-02	1.93849784e-02
128             	9.33520861e-04	3.29843625e-03	4.06578067e-02	2.12624242e-02	1.93953825e-02
129             	9.25817743e-04	3.29676530e-03	4.06704945e-02	2.12610650e-02	1.94094295e-02
130             	9.17539587e-04	3.29475080e-03	4.06751517e-02	2.12551154e-02	1.94200362e-02
131             	9.09309442e-04	3.29292527e-03	4.06822800e-02	2.12504494e-02	1.94318305e-02
132             	8.98976971e-04	3.29014924e-03	4.06878100e-02	2.12428820e-02	1.94449280e-02
133             	8.90217553e-04	3.28818015e-03	4.06909505e-02	2.12356928e-02	1.94552577e-02
134             	8.79772079e-04	3.28536953e-03	4.06932766e-02	2.12264104e-02	1.94668662e-02
135             	8.71113795e-04	3.28319891e-03	4.06989196e-02	2.12205736e-02	1.94783460e-02
136             	8.61304048e-04	3.28062665e-03	4.07007491e-02	2.12116786e-02	1.94890705e-02
137             	8.51244652e-04	3.27798169e-03	4.07021888e-02	2.12023390e-02	1.94998497e-02
138             	8.39902636e-04	3.27484259e-03	4.07016061e-02	2.11907057e-02	1.95109004e-02
139             	8.29868782e-04	3.27217134e-03	4.07009784e-02	2.11803580e-02	1.95206204e-02
140             	8.18951295e-04	3.26905058e-03	4.06997022e-02	2.11688024e-02	1.95308998e-02
141             	8.08034117e-04	3.26609179e-03	4.06980388e-02	2.11570535e-02	1.95409853e-02
142             	7.96602576e-04	3.26275588e-03	4.06964581e-02	2.11448316e-02	1.95516265e-02
143             	7.85264529e-04	3.25948524e-03	4.06923900e-02	2.11314595e-02	1.95609305e-02
144             	7.74543958e-04	3.25649860e-03	4.06892617e-02	2.11191748e-02	1.95700869e-02
145             	7.63861630e-04	3.25353595e-03	4.06850441e-02	2.11063837e-02	1.95786604e-02
146             	7.53110252e-04	3.25051479e-03	4.06848744e-02	2.10955474e-02	1.95893269e-02
147             	7.41634442e-04	3.24721132e-03	4.06788971e-02	2.10810830e-02	1.95978141e-02
148             	7.30670581e-04	3.24401702e-03	4.06746846e-02	2.10680129e-02	1.96066717e-02
149             	7.20317432e-04	3.24110652e-03	4.06705913e-02	2.10556131e-02	1.96149782e-02
150             	7.08554899e-04	3.23758144e-03	4.06667159e-02	2.10419128e-02	1.96248030e-02
151             	6.96738374e-04	3.23407249e-03	4.06597632e-02	2.10266200e-02	1.96331432e-02
152             	6.84374828e-04	3.23033129e-03	4.06513268e-02	2.10100382e-02	1.96412886e-02
153             	6.73700301e-04	3.22724190e-03	4.06482665e-02	2.09978336e-02	1.96504330e-02
154             	6.63161332e-04	3.22413639e-03	4.06417079e-02	2.09840153e-02	1.96576926e-02
155             	6.52842898e-04	3.22130620e-03	4.06374270e-02	2.09715564e-02	1.96658706e-02
156             	6.40241323e-04	3.21726748e-03	4.06294240e-02	2.09549533e-02	1.96744707e-02
157             	6.27664300e-04	3.21343869e-03	4.06200312e-02	2.09376799e-02	1.96823513e-02
158             	6.16644732e-04	3.21015829e-03	4.06126396e-02	2.09229645e-02	1.96896751e-02
159             	6.04636568e-04	3.20647794e-03	4.06034365e-02	2.09063548e-02	1.96970817e-02
160             	5.91877039e-04	3.20243882e-03	4.05926001e-02	2.08881771e-02	1.97044230e-02
161             	5.80195818e-04	3.19888816e-03	4.05838374e-02	2.08721145e-02	1.97117229e-02
162             	5.67599943e-04	3.19490387e-03	4.05726253e-02	2.08539126e-02	1.97187127e-02
163             	5.56486547e-04	3.19156519e-03	4.05646167e-02	2.08387949e-02	1.97258218e-02
164             	5.46053692e-04	3.18854393e-03	4.05563860e-02	2.08242467e-02	1.97321393e-02
165             	5.33811949e-04	3.18467111e-03	4.05471686e-02	2.08073962e-02	1.97397723e-02
166             	5.22606662e-04	3.18130531e-03	4.05371601e-02	2.07911867e-02	1.97459734e-02
167             	5.11027006e-04	3.17783562e-03	4.05271500e-02	2.07746020e-02	1.97525480e-02
168             	4.98002683e-04	3.17359746e-03	4.05146011e-02	2.07553032e-02	1.97592979e-02
169             	4.86680324e-04	3.17016448e-03	4.05048545e-02	2.07391076e-02	1.97657469e-02
170             	4.74591171e-04	3.16631267e-03	4.04927531e-02	2.07209677e-02	1.97717854e-02
171             	4.63108535e-04	3.16286417e-03	4.04823467e-02	2.07042819e-02	1.97780648e-02
172             	4.51158128e-04	3.15916245e-03	4.04702656e-02	2.06862909e-02	1.97839747e-02
