# Force coefficients
# liftDir       : (-8.71556741e-02 9.96194704e-01 0.00000000e+00)
# dragDir       : (9.96194704e-01 8.71556741e-02 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 3.00000000e+00
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
# Time          	Cm              	Cd              	Cl              	Cl(f)           	Cl(r)           
60              	1.19422040e-02	1.68674741e-03	3.87746555e-02	3.13295318e-02	7.44512376e-03
61              	3.59822463e-03	9.12373349e-03	1.96585031e-02	1.34274762e-02	6.23102692e-03
62              	1.16971490e-02	1.16138044e-03	3.92420559e-02	3.13181770e-02	7.92387889e-03
63              	4.39498941e-03	1.00913658e-02	2.35958603e-02	1.61929196e-02	7.40294075e-03
64              	1.09751671e-02	1.09077545e-03	3.84746403e-02	3.02124873e-02	8.26215301e-03
65              	4.89625536e-03	1.06158014e-02	2.73507338e-02	1.85716223e-02	8.77911154e-03
66              	1.06199522e-02	1.66663138e-03	3.89338663e-02	3.00868853e-02	8.84698100e-03
67              	5.62110727e-03	1.05562197e-02	3.25550676e-02	2.18986411e-02	1.06564265e-02
68              	1.02142711e-02	2.87478194e-03	3.91331359e-02	2.97808390e-02	9.35229691e-03
69              	6.06912293e-03	9.80821088e-03	3.54974497e-02	2.38178478e-02	1.16796019e-02
70              	1.02795073e-02	4.29713197e-03	4.08869663e-02	3.07229905e-02	1.01639758e-02
71              	6.32316948e-03	9.25946817e-03	3.79632327e-02	2.53047858e-02	1.26584469e-02
72              	1.03393060e-02	5.30197474e-03	4.28343936e-02	3.17565028e-02	1.10778907e-02
73              	6.01611676e-03	8.66882805e-03	3.97814936e-02	2.59068636e-02	1.38746300e-02
74              	1.04070704e-02	6.18317161e-03	4.49537015e-02	3.28839212e-02	1.20697803e-02
75              	5.82845691e-03	8.30775066e-03	4.03515524e-02	2.60042331e-02	1.43473193e-02
76              	1.00570382e-02	6.57898774e-03	4.64568737e-02	3.32854751e-02	1.31713986e-02
77              	5.98721823e-03	8.19964984e-03	4.09525239e-02	2.64634802e-02	1.44890437e-02
78              	9.36590018e-03	6.69390318e-03	4.75402462e-02	3.31360233e-02	1.44042229e-02
79              	6.19044970e-03	7.64476516e-03	4.24276285e-02	2.74042639e-02	1.50233645e-02
80              	8.29535011e-03	7.14300829e-03	4.73924927e-02	3.19915965e-02	1.54008962e-02
81              	6.57246516e-03	6.63801965e-03	4.44171805e-02	2.87810554e-02	1.56361251e-02
82              	7.33975848e-03	7.85895237e-03	4.50621907e-02	2.98708538e-02	1.51913369e-02
83              	6.78211886e-03	5.56310326e-03	4.59290348e-02	2.97466362e-02	1.61823985e-02
84              	6.17827722e-03	8.29583939e-03	4.28640767e-02	2.76103155e-02	1.52537611e-02
85              	6.89755115e-03	4.80473637e-03	4.64941270e-02	3.01446147e-02	1.63495123e-02
86              	5.08751536e-03	8.36024459e-03	4.10459153e-02	2.56104730e-02	1.54354423e-02
87              	6.69682633e-03	4.22974894e-03	4.62279258e-02	2.98107892e-02	1.64171366e-02
88              	3.96584106e-03	7.99160403e-03	3.98458120e-02	2.38887471e-02	1.59570650e-02
89              	6.24315413e-03	3.99143831e-03	4.48938079e-02	2.86900581e-02	1.62037498e-02
90              	3.11034518e-03	7.54895467e-03	3.92078094e-02	2.27142499e-02	1.64935595e-02
91              	6.00251182e-03	4.03465915e-03	4.36114330e-02	2.78082283e-02	1.58032047e-02
92              	2.22415884e-03	6.93525507e-03	3.82516110e-02	2.13499643e-02	1.69016467e-02
93              	5.41672537e-03	3.94242277e-03	4.22490631e-02	2.65412569e-02	1.57078062e-02
94              	1.73422325e-03	6.46057794e-03	3.74990892e-02	2.04837678e-02	1.70153213e-02
95              	4.92241040e-03	4.06561460e-03	4.12910259e-02	2.55679233e-02	1.57231025e-02
96              	1.54154327e-03	5.84618571e-03	3.75614418e-02	2.03222642e-02	1.72391776e-02
97              	4.35732840e-03	4.00070146e-03	4.04219938e-02	2.45683253e-02	1.58536685e-02
98              	1.23786436e-03	5.49612450e-03	3.73932119e-02	1.99344703e-02	1.74587416e-02
99              	3.69027279e-03	3.79148621e-03	3.97318257e-02	2.35561856e-02	1.61756401e-02
100             	1.13411352e-03	5.35017670e-03	3.64553255e-02	1.93617762e-02	1.70935492e-02
101             	3.40859769e-03	3.60849800e-03	3.97554903e-02	2.32863428e-02	1.64691475e-02
102             	1.12429512e-03	5.41362509e-03	3.65938820e-02	1.94212361e-02	1.71726459e-02
103             	2.96310920e-03	3.50353903e-03	3.97673195e-02	2.28467689e-02	1.69205505e-02
104             	1.06284427e-03	5.28808906e-03	3.63165400e-02	1.92211143e-02	1.70954257e-02
105             	2.49534911e-03	3.37762068e-03	3.92866808e-02	2.21386895e-02	1.71479913e-02
106             	1.05726522e-03	5.03141829e-03	3.67569299e-02	1.94357302e-02	1.73211997e-02
107             	2.31123029e-03	3.49019593e-03	3.87789471e-02	2.17007038e-02	1.70782433e-02
108             	1.13095936e-03	4.81188418e-03	3.71729703e-02	1.97174445e-02	1.74555258e-02
109             	2.05178579e-03	3.56231526e-03	3.76451776e-02	2.08743746e-02	1.67708030e-02
110             	1.49639198e-03	4.69251561e-03	3.86099566e-02	2.08013703e-02	1.78085863e-02
111             	1.69854692e-03	3.62035214e-03	3.70734454e-02	2.02352696e-02	1.68381758e-02
112             	1.94331983e-03	4.74653167e-03	3.95216083e-02	2.17041240e-02	1.78174843e-02
113             	1.36935396e-03	3.65942009e-03	3.65902162e-02	1.96644621e-02	1.69257541e-02
114             	2.33903044e-03	4.65518873e-03	4.05202603e-02	2.25991606e-02	1.79210997e-02
115             	1.11882813e-03	3.70145437e-03	3.67346315e-02	1.94861439e-02	1.72484876e-02
116             	2.69211561e-03	4.78370735e-03	4.11172714e-02	2.32507513e-02	1.78665201e-02
117             	1.05052556e-03	3.57622230e-03	3.69932882e-02	1.95471697e-02	1.74461185e-02
118             	2.93742675e-03	4.89254249e-03	4.06858269e-02	2.32803402e-02	1.74054867e-02
119             	8.05441594e-04	3.64468039e-03	3.76868604e-02	1.96488718e-02	1.80379886e-02
120             	3.04155290e-03	4.66650518e-03	4.05998929e-02	2.33414994e-02	1.72583936e-02
121             	5.67519570e-04	4.04785251e-03	3.81721025e-02	1.96535708e-02	1.85185317e-02
122             	3.37222103e-03	4.49106256e-03	4.11119836e-02	2.39282128e-02	1.71837708e-02
123             	5.35355930e-04	4.39393819e-03	3.81946676e-02	1.96326897e-02	1.85619779e-02
124             	3.40993937e-03	4.02441574e-03	4.21567632e-02	2.44883210e-02	1.76684422e-02
125             	8.27464322e-04	5.04923139e-03	3.85406188e-02	2.00977737e-02	1.84428451e-02
126             	2.99795797e-03	3.31658811e-03	4.18630274e-02	2.39294717e-02	1.79335557e-02
127             	1.44409647e-03	5.81413151e-03	3.88869388e-02	2.08875659e-02	1.79993729e-02
128             	2.44690653e-03	2.66776424e-03	4.17620502e-02	2.33279316e-02	1.84341186e-02
129             	2.01048820e-03	6.37010313e-03	3.97691827e-02	2.18950795e-02	1.78741031e-02
130             	1.98166427e-03	2.27531528e-03	4.17802292e-02	2.28717789e-02	1.89084503e-02
131             	2.34950499e-03	6.67533813e-03	3.98088154e-02	2.22539127e-02	1.75549027e-02
132             	1.79986046e-03	2.11458398e-03	4.27233947e-02	2.31615578e-02	1.95618369e-02
133             	2.19756383e-03	6.70231159e-03	3.91934129e-02	2.17942703e-02	1.73991426e-02
134             	1.95481543e-03	2.05471377e-03	4.41260037e-02	2.40178173e-02	2.01081864e-02
