# Force coefficients
# liftDir       : (-8.71556741e-02 9.96194704e-01 0.00000000e+00)
# dragDir       : (9.96194704e-01 8.71556741e-02 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 3.00000000e+00
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
# Time          	Cm              	Cd              	Cl              	Cl(f)           	Cl(r)           
52              	1.66241646e-03	3.67763178e-03	4.26793374e-02	2.30020851e-02	1.96772522e-02
53              	1.63486352e-03	3.64735439e-03	4.28033108e-02	2.30365189e-02	1.97667919e-02
54              	1.59230645e-03	3.60605311e-03	4.28795822e-02	2.30320976e-02	1.98474847e-02
55              	1.54563592e-03	3.57167302e-03	4.29526356e-02	2.30219537e-02	1.99306819e-02
56              	1.50487435e-03	3.53680065e-03	4.30355081e-02	2.30226284e-02	2.00128797e-02
57              	1.46812769e-03	3.50412477e-03	4.31247053e-02	2.30304803e-02	2.00942249e-02
58              	1.43243518e-03	3.47233987e-03	4.32081118e-02	2.30364911e-02	2.01716207e-02
59              	1.39535844e-03	3.44470791e-03	4.32908099e-02	2.30407634e-02	2.02500465e-02
60              	1.36051685e-03	3.41733846e-03	4.33738541e-02	2.30474439e-02	2.03264102e-02
61              	1.32952239e-03	3.39261014e-03	4.34572777e-02	2.30581612e-02	2.03991165e-02
62              	1.30423300e-03	3.36949207e-03	4.35446486e-02	2.30765573e-02	2.04680913e-02
63              	1.28308378e-03	3.34818785e-03	4.36363530e-02	2.31012603e-02	2.05350927e-02
64              	1.26599765e-03	3.33322240e-03	4.37408857e-02	2.31364405e-02	2.06044452e-02
65              	1.25172031e-03	3.31724181e-03	4.38417761e-02	2.31726084e-02	2.06691677e-02
66              	1.23575660e-03	3.30131194e-03	4.39342817e-02	2.32028974e-02	2.07313842e-02
67              	1.22450759e-03	3.28780612e-03	4.40311649e-02	2.32400900e-02	2.07910748e-02
68              	1.21646306e-03	3.27579988e-03	4.41279786e-02	2.32804523e-02	2.08475262e-02
69              	1.21077908e-03	3.26562574e-03	4.42302704e-02	2.33259143e-02	2.09043561e-02
70              	1.20591020e-03	3.25598978e-03	4.43272840e-02	2.33695522e-02	2.09577318e-02
71              	1.20347542e-03	3.24839115e-03	4.44272436e-02	2.34170972e-02	2.10101464e-02
72              	1.20034452e-03	3.24083591e-03	4.45254516e-02	2.34630703e-02	2.10623813e-02
73              	1.19948878e-03	3.23338380e-03	4.46184195e-02	2.35086985e-02	2.11097210e-02
74              	1.19566183e-03	3.22620027e-03	4.47105007e-02	2.35509122e-02	2.11595885e-02
75              	1.19248316e-03	3.21799729e-03	4.47941435e-02	2.35895549e-02	2.12045886e-02
76              	1.18958062e-03	3.21114620e-03	4.48783160e-02	2.36287386e-02	2.12495774e-02
77              	1.19140936e-03	3.20622906e-03	4.49696024e-02	2.36762106e-02	2.12933918e-02
78              	1.19282737e-03	3.20061351e-03	4.50586026e-02	2.37221286e-02	2.13364739e-02
79              	1.19550739e-03	3.19610231e-03	4.51456846e-02	2.37683497e-02	2.13773349e-02
80              	1.19652575e-03	3.19065369e-03	4.52294386e-02	2.38112451e-02	2.14181936e-02
81              	1.19847460e-03	3.18569284e-03	4.53109160e-02	2.38539326e-02	2.14569834e-02
82              	1.20255647e-03	3.18154691e-03	4.53957211e-02	2.39004170e-02	2.14953041e-02
83              	1.20755749e-03	3.17763305e-03	4.54782366e-02	2.39466758e-02	2.15315608e-02
84              	1.21352356e-03	3.17407939e-03	4.55604746e-02	2.39937609e-02	2.15667137e-02
85              	1.21986623e-03	3.17071177e-03	4.56432400e-02	2.40414862e-02	2.16017538e-02
86              	1.22613566e-03	3.16711996e-03	4.57210445e-02	2.40866579e-02	2.16343866e-02
87              	1.23540706e-03	3.16526640e-03	4.58054690e-02	2.41381415e-02	2.16673274e-02
88              	1.24419922e-03	3.16342969e-03	4.58863810e-02	2.41873897e-02	2.16989913e-02
89              	1.25439737e-03	3.16258073e-03	4.59697881e-02	2.42392914e-02	2.17304967e-02
90              	1.26340509e-03	3.16150575e-03	4.60497501e-02	2.42882801e-02	2.17614699e-02
91              	1.27211767e-03	3.16068741e-03	4.61274631e-02	2.43358492e-02	2.17916139e-02
92              	1.28007385e-03	3.15983519e-03	4.62028098e-02	2.43814787e-02	2.18213310e-02
93              	1.28771591e-03	3.15917185e-03	4.62759773e-02	2.44257045e-02	2.18502727e-02
94              	1.29529014e-03	3.15877463e-03	4.63498998e-02	2.44702400e-02	2.18796598e-02
95              	1.30200461e-03	3.15823809e-03	4.64187781e-02	2.45113937e-02	2.19073844e-02
96              	1.30879489e-03	3.15808529e-03	4.64896836e-02	2.45536367e-02	2.19360469e-02
97              	1.31486310e-03	3.15783958e-03	4.65568990e-02	2.45933126e-02	2.19635864e-02
98              	1.32087942e-03	3.15779663e-03	4.66244391e-02	2.46330989e-02	2.19913401e-02
99              	1.32608987e-03	3.15755484e-03	4.66889833e-02	2.46705815e-02	2.20184018e-02
100             	1.33139308e-03	3.15752922e-03	4.67527165e-02	2.47077513e-02	2.20449652e-02
101             	1.33654955e-03	3.15742354e-03	4.68149129e-02	2.47440060e-02	2.20709069e-02
102             	1.34285805e-03	3.15792254e-03	4.68810114e-02	2.47833638e-02	2.20976476e-02
103             	1.34889927e-03	3.15833863e-03	4.69446960e-02	2.48212473e-02	2.21234487e-02
104             	1.35368769e-03	3.15816771e-03	4.70018684e-02	2.48546219e-02	2.21472465e-02
105             	1.36019155e-03	3.15912648e-03	4.70676012e-02	2.48939922e-02	2.21736091e-02
106             	1.36465163e-03	3.15898423e-03	4.71237157e-02	2.49265095e-02	2.21972062e-02
107             	1.36904191e-03	3.15915239e-03	4.71815445e-02	2.49598142e-02	2.22217303e-02
108             	1.37316046e-03	3.15917915e-03	4.72369228e-02	2.49916218e-02	2.22453009e-02
109             	1.37741936e-03	3.15925956e-03	4.72926368e-02	2.50237378e-02	2.22688991e-02
110             	1.38184771e-03	3.15949402e-03	4.73492405e-02	2.50564680e-02	2.22927725e-02
111             	1.38608859e-03	3.15962568e-03	4.74047399e-02	2.50884585e-02	2.23162813e-02
112             	1.38988445e-03	3.15958848e-03	4.74573420e-02	2.51185554e-02	2.23387865e-02
113             	1.39337786e-03	3.15952067e-03	4.75096030e-02	2.51481794e-02	2.23614236e-02
114             	1.39654662e-03	3.15930245e-03	4.75600415e-02	2.51765674e-02	2.23834741e-02
115             	1.39974216e-03	3.15913731e-03	4.76111487e-02	2.52053165e-02	2.24058322e-02
